object,gt_path,base_path,refined_path,chamfer_gt_vs_base,chamfer_gt_vs_refined
Apple,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/input/Apple/apple.glb,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/output/baseSketch/Apple/mesh.glb,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/output/refinedImage/Apple/refinedImage/mesh.glb,0.132597,0.060649
Chair,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/input/Chair/sofa_chair.glb,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/output/baseSketch/Chair/baseSketch/mesh.glb,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/output/refinedImage/Chair/refinedImage/mesh.glb,0.207989,0.161220
Donut,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/input/Donut/donut.glb,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/output/baseSketch/Donut/baseSketch/mesh.glb,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/output/refinedImage/Donut/refinedImage1/mesh.glb,0.331786,0.190710
Flower,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/input/Flower/flower.glb,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/output/baseSketch/Flower/baseSketch/mesh.glb,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/output/refinedImage/Flower/refinedImage/mesh.glb,0.154766,0.094493
FlowerPot,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/input/FlowerPot/flower_pot.glb,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/output/baseSketch/FlowerPot/baseSketch/mesh.glb,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/output/refinedImage/FlowerPot/refinedImage/mesh.glb,0.110779,0.101083
HoneyDipper,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/input/HoneyDipper/honey_dipper.glb,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/output/baseSketch/HoneyDipper/baseSketch/mesh.glb,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/output/refinedImage/HoneyDipper/refinedImage/mesh.glb,0.375441,0.323844
Pizza,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/input/Pizza/slice_of_pizza.glb,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/output/baseSketch/Pizza/baseSketch/mesh.glb,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/output/refinedImage/Pizza/refinedImage/mesh.glb,0.274830,0.225179
Sunglasses,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/input/Sunglasses/sunglasses.glb,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/output/baseSketch/Sunglasses/baseSketch/mesh.glb,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/output/refinedImage/Sunglasses/refinedImage/mesh.glb,0.280946,0.300088
Teapot,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/input/Teapot/teapot.glb,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/output/baseSketch/Teapot/baseSketch/mesh.glb,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/output/refinedImage/Teapot/refinedImage/mesh.glb,0.062037,0.095018
TeddyBear,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/input/TeddyBear/teddybear.glb,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/output/baseSketch/TeddyBear/baseSketch/mesh.glb,/Users/emanfatima/Desktop/tripsrGithub/TripoSR/output/refinedImage/TeddyBear/refinedImage/mesh.glb,0.144311,0.086537
